"ind","altura","d1","ar","arp","prot","volume","biov","biomassa","x"
1,475,1111.7,970659.65,785257.61,81,153687111.3,124331915.6,14.04950646,0
2,137.5,700.6,385499.65,141695.99,37,17668984.54,6494491.648,0.733877556,0
3,280,699.63,384437.69,159265.31,41,35880914.66,14864788.61,1.679721113,0
4,280,520.99,213181.43,53941.54,25,19896900.72,5034535.447,0.568902506,0
5,120,693.47,377697.79,377697.79,100,15107939.21,15107939.21,1.70719713,0
6,240,561.92,247992.12,115123.6,46,19839414.37,9209908.781,1.040719692,0
7,220,1065.92,892360.42,353339.6,40,65439583.95,25911499.32,2.927999423,0
8,360,964.13,730066.14,341257.6,47,87607708.47,40950805.27,4.627440995,0
9,264,622.39,304235.51,70845.39,23,26773044.88,6234468.835,0.704494978,0
10,390,871.78,596905.4,415991.84,70,77597376.17,54078712.12,6.11089447,0
11,110,962.01,726852.35,333135.42,46,26651428.07,12215045.72,1.380300166,0
12,286,742.1,432523.83,85697.95,20,41234385.14,8169959.736,0.92320545,0
13,66,174.52,23921.39,23921.39,100,526263.1621,526263.1621,0.059467737,0
14,216,593.16,276332.07,88269.12,32,19896014.6,6355410.358,0.71816137,0
15,360,792.14,492820.76,492820.76,100,59139141.47,59139141.47,6.682722986,0
16,180,476.31,178184.9,178184.9,100,10691054.19,10691054.19,1.208089123,0
17,256,599.29,282070.98,94903.74,34,24070363.78,8098555.711,0.915136795,0
18,260,581.76,265810.42,115543.64,43,23037199.81,10013911.12,1.131571957,0
19,240,586.65,270305.09,270305.09,100,21624098.87,21624098.87,2.443523173,0
20,380,846.61,562929.18,562929.18,100,71304840.26,71304840.26,8.057446949,0
21,442,958.52,721587.1,721587.1,100,106314684.4,106314684.4,12.01355933,0
22,245,1011.6,803725.44,803725.44,100,65637548.53,65637548.53,7.417042984,0
23,270,673.31,356053.93,356053.93,100,32045165.6,32045165.6,3.621103712,0
24,144,472.92,175658.49,23740.81,14,8431531.767,1139548.642,0.128768997,0
25,200,489.38,188096,74775.51,40,12539812.87,4985065.619,0.563312415,0
26,204,589.6,273022.78,54946.45,20,18565803.25,3736409.761,0.422214303,0
27,300,685.88,369475.11,134163.87,36,36947593.75,13416417.05,1.516055126,0
28,400,1078.97,914337.24,914337.24,100,121912253,121912253,13.77608459,0
29,270,715.52,402094.92,237244.42,59,36188946.95,21352236.26,2.412802697,0
30,160,386.61,117388.88,117388.88,100,6260871.292,6260871.292,0.707478456,0
31,135,345,93480.12,29458.38,32,4206690.738,1325653.993,0.149798901,0
32,240,655.4,337368.98,118104.06,35,26989369.71,9448272.748,1.067654821,0
33,120,337.89,89670.63,43914.35,49,3586745.403,1756534.921,0.198488446,0
34,200,625.8,307582.27,102755.56,33,20505470.56,6850365.955,0.774091353,0
35,377,885.85,616321.92,104773.17,17,77451593.23,13166575.26,1.487823004,0
36,234,585.86,269572.64,269572.64,100,21026751.33,21026751.33,2.3760229,0
37,90,156.89,19332.88,10030.26,52,579964.8355,300896.6119,0.034001317,0
38,288,573.76,258553.16,76614.59,30,24821135.77,7355010.245,0.831116158,0
39,72,170.44,22816.14,7304.04,32,547575.709,175293.2302,0.019808135,0
40,407,858.57,578951.32,578951.32,100,78544260.41,78544260.41,8.875501427,0
41,294,670.77,353380.42,353380.42,100,34630855.36,34630855.36,3.913286655,0
42,270,665.96,348322.35,348322.35,100,31349360.07,31349360.07,3.542477688,0
43,280,704.76,390097.52,173820.82,45,36409033.61,16223246.12,1.833226812,0
44,341,1059.94,882368,882368,100,100296451.9,100296451.9,11.33349906,0
45,288,817.64,525068.5,525068.5,100,50406364.27,50406364.27,5.695919162,0
46,254,743.68,434376.79,251941.44,58,36776851.61,21330819.61,2.410382616,0
47,280,707.16,392758.97,106280.65,27,36657431.55,9919507.765,1.120904377,0
48,247,535.74,225422.73,120952.8,54,18559818.58,9958454.608,1.125305371,0
49,176,377.68,112028.04,112028.04,100,6572479.942,6572479.942,0.742690233,0
50,114,319.7,80272.22,21672.26,27,3050413.755,823564.6155,0.093062802,0
51,506,1129.96,1002803.71,710990.26,71,169139593.9,119920381.8,13.55100315,0
52,360,898.27,633722.23,633722.23,100,76047495.98,76047495.98,8.593367046,0
53,374,887.86,619128.88,619128.88,100,77184342.68,77184342.68,8.721830723,0
54,355,859.72,580504.36,580504.36,100,68692771.64,68692771.64,7.762283195,0
55,276,603.53,286079.32,286079.32,100,26319366.65,26319366.65,2.974088431,0
56,280,622.73,304571.5,219820.29,72,28426686.16,20516569.66,2.318372371,0
57,290,728.24,416522.7,416522.7,100,40263885.66,40263885.66,4.549819079,0
58,119,297.01,69281.57,69281.57,100,2748259.461,2748259.461,0.310553319,0
59,76,163.68,21042.26,21042.26,100,533056.7557,533056.7557,0.060235413,0
60,87,145.08,16531.91,4101.73,25,479405.4569,118945.2244,0.01344081,0
61,280,669.21,351731.1,110381.24,31.38228038,32828534.97,10302342.89,1.164164747,0
62,330,679.99,363154.78,37305.62,10.27265014,39947317.24,4103648.139,0.46371224,0
63,370,818.32,525937.29,142218.82,27.04102232,64865934.92,17540411.94,1.982066549,0
64,495,868.4,592281.29,364826.31,61.59679803,97726749.79,60196548.7,6.802210003,0
65,347,843.2,558407.97,101971.28,18.26107174,64589109.55,11794663.63,1.33279699,0
66,280,679.35,362470.37,25071.42,6.91681916,33830920.73,2340023.607,0.264422668,0
67,340,686.35,369982.94,126241.93,34.1210138,41931347.57,14307400.89,1.6167363,0
68,63,111.26,9721.86,4856.66,49.95607836,204167.818,101994.2352,0.011525349,0
69,160,420.81,139076.13,65548.57,47.13143082,7417553.933,3495999.301,0.395047921,0
70,108,251.07,49507.15,8045.14,16.25046079,1782305.008,289632.7765,0.032728504,0
71,60,221.6,38569.35,6697.05,17.36365793,771364.0408,133937.0134,0.015134883,0
72,70,158.11,19633.6,11015.54,56.10555374,458126.4263,257034.3683,0.029044884,0
73,350,756.2,449124.34,278848.4,62.08712714,52397433.74,32532061.3,3.676122927,0
74,225,467.89,171943.78,112864.29,65.64022845,12895514.42,8464645.125,0.956504899,0
75,330,686.87,370542.19,168469.95,45.46579433,40759764.24,18531750.58,2.094087815,0
76,223,464.59,169523.33,21214.34,12.51411236,12601237.74,1576933.05,0.178193435,0
77,519,1039.5,848673.58,327949.15,38.64255442,146819916.2,56734966.02,6.41105116,0
78,460,1070.32,899748.13,381556.99,42.40708897,137960176,58504894.59,6.611053089,0
79,446,1000.62,786372.42,368273.21,46.83190822,116907357.4,54749946.32,6.186743934,0
80,280,607.97,290300.96,160088.62,55.14574254,27095112.44,14941800.95,1.688423507,0
81,525,685.89,369483.32,100796.56,27.28040876,64660174.49,17639559.91,1.993270269,0
82,408,728.21,416484.3,133304.5,32.00708886,56642454.8,18129600.84,2.048644895,0
83,273,590.38,273750.29,273750.29,100,24911194.19,24911194.19,2.814964943,0
84,140,347.54,94862.21,40144.82,42.31908576,4426966.708,1873451.837,0.211700058,0
85,348,999.48,784582.74,227330.94,28.9747567,91011461.17,26370349.44,2.979849487,0
86,364,830.55,541783.17,100135.4,18.4825601,65735742.91,12149648.19,1.372910246,0
87,390,693.91,378176.32,199447.84,52.73937829,49163130.16,25928329.19,2.929901199,0
88,270,623.67,305496.72,61514.05,20.1357481,27494264.02,5536175.746,0.625587859,0
89,300,576.64,261154.52,76626.95,29.34161354,26115564.12,7662727.896,0.865888252,0
90,293,879.9,608070.42,186683.11,30.70090303,59388571.96,18232827.89,2.060309551,0
91,360,738.16,427950.01,165358.66,38.63971402,51353747.65,19842941.23,2.242252359,0
92,183,308.13,74571.19,11057.13,14.8276164,4548704.08,674464.3922,0.076214476,0
93,550,1016.29,811196.64,157359.05,19.39838533,148719056.2,28849095.58,3.259947801,0
94,192,551.53,238909.79,62942.57,26.34574749,15290022.92,4028270.829,0.455194604,0
95,500,1193.11,1118031.25,489116.49,43.74801599,186337216,81518835.04,9.21162836,0
96,432,881.48,610256.41,191675.8,31.40905968,87877420.31,27601471.39,3.118966267,0
97,350,860.26,581232.02,140835.52,24.23051641,67810372.57,16430803.45,1.85668079,0
98,332,620.9,3027282.18,103158.34,3.407622212,33508117.53,1141830.056,0.129026796,0
99,137,283.74,63230.87,32635.23,51.61281191,2887555.383,1490348.528,0.168409384,0
100,88,168.51,22301.93,12933.58,57.99309746,654188.1244,379383.9566,0.042870387,0
101,90,176.56,24483.31,10709.77,43.74314584,734506.725,321296.3479,0.036306487,0
102,280,533.08,223190.26,113185.33,50.71248629,20831063.18,10563950.06,1.193726357,0
103,211,698.51,383207.8,122919.43,32.0764426,26952331.39,8645349.108,0.976924449,0
104,405,971.07,740616.27,266354.17,35.96385615,99982668.7,35957623.15,4.063211416,0
105,345,910.71,651400.45,405877.14,62.3083911,74911403.26,46676090.12,5.274398184,0
106,247,452.25,160639.81,97606.32,60.76097824,13225823.75,8036139.893,0.908083808,0
107,209,429.31,144753.52,74489.4,51.45947401,10084559.26,5189461.149,0.58640911,0
108,120,244.24,46852.81,12484.24,26.64565903,1874059.845,499355.5965,0.056427182,0
109,362,645.5,327256.67,253154.37,77.35651958,39488413.93,30546862.65,3.45179548,0
110,312,574.23,258973.07,258973.07,100,26933635.39,26933635.39,3.043500799,0
111,140,378.44,112481.45,112481.45,100,5249171.111,5249171.111,0.593156336,0
112,140,506.72,201659.53,101894.8,50.52813522,9410934.58,4755169.75,0.537334182,0
113,243,841.87,556644.69,146519.01,26.3218194,45088414.9,11868091.14,1.341094299,0
114,150,401.25,126451.51,30211.93,23.89210694,6322516.575,1510582.422,0.170695814,0
115,300,669.38,351910.12,351910.12,100,35191302.87,35191302.87,3.976617224,0
116,340,715.23,401775.44,401775.44,100,45534333.98,45534333.98,5.14537974,0
117,156,386.78,117495.84,117495.84,100,6109719.094,6109719.094,0.690398258,0
118,408,916.51,659732.97,659732.97,100,89722880.02,89722880.02,10.13868544,0
119,188,386.13,117100.63,117100.63,100,7338267.958,7338267.958,0.829224279,0
120,177,407.6,130486.86,130486.86,100,7698573.204,7698573.204,0.869938772,0
121,321,782.18,480513.61,480513.61,100,51414672.43,51414672.43,5.809857984,0
122,296,603.78,286317.71,126178.22,44.06930329,28249956.53,12449559.02,1.40680017,0
123,579,1059.35,881397.59,881397.59,100,170108545.9,170108545.9,19.22226569,0
124,411,806.86,511316.08,511316.08,100,70049787.21,70049787.21,7.915625955,0
125,373,755.69,448515.21,448515.21,100,55765398.37,55765398.37,6.301490016,0
126,149,327.42,84199.22,84199.22,100,4181819.693,4181819.693,0.472545625,0
127,229,738.36,428179.84,428179.84,100,32684393.56,32684393.56,3.693336472,0
128,109,907.52,646849.77,295571.13,45.69393756,23502146.78,10739056.28,1.213513359,0
129,68,125.13,12434.07,12434.07,100,278740.7271,278740.7271,0.031497702,0
130,76,151.68,18068.37,18068.37,100,457761.0735,457761.0735,0.051727001,0
131,340,721.11,408410.26,111438.61,27.28594771,46286099.02,12629600.78,1.427144888,0
132,347,757.57,450749.95,90277.2,20.02822186,52136711.86,10442056.32,1.179952364,0
133,340,810.25,515619.03,49811.45,9.660514275,58436691.98,5645284.971,0.637917202,0
134,450,1058.11,879333.84,879333.84,100,131899387.3,131899387.3,14.90463076,0
135,80,218.76,37587.46,25529.61,67.92055116,1002292.413,680762.5315,0.076926166,0
136,88,174.52,23921.25,23921.25,100,701684.2161,701684.2161,0.079290316,0
137,120,213.18,35691.4,35691.4,100,1427719.162,1427719.162,0.161332265,0
138,87,183.46,26433.98,26433.98,100,766603.2528,766603.2528,0.086626168,0
139,355,713.64,399988.72,141643.63,35.41190612,47332053.73,16761182.43,1.894013615,0
140,256,580.61,264760.49,171712.45,64.85576832,22593193.15,14652989,1.655787757,0
141,334,986.68,764614.78,392155.89,51.28803422,85127081.41,43660006.64,4.93358075,0
142,265,579.93,264145.3,264145.3,100,23332735.17,23332735.17,2.636599074,0
143,300,540,229019.09,229019.09,100,22902210.45,22902210.45,2.587949781,0
144,268,559.6,245948.05,245948.05,100,21971455.73,21971455.73,2.482774498,0
145,370,751.7,443791.5,443791.5,100,54734285.26,54734285.26,6.184974234,0
146,540,1061.98,885777.63,885777.63,100,159439183.7,159439183.7,18.01662776,0
147,178,343.56,92701.68,31220.05,33.67797649,5500394.222,1852421.473,0.209323626,0
148,127,294.7,68210.12,68210.12,100,2887570.653,2887570.653,0.326295484,0
149,136,303.45,72321.66,72321.66,100,3278550.056,3278550.056,0.370476156,0
150,96,183.94,26574.36,26574.36,100,850339.2467,850339.2467,0.096088335,0
151,151,317.6,79223.79,79223.79,100,3987553.854,3987553.854,0.450593586,0
152,169,402.59,127296.03,127296.03,100,7171026.009,7171026.009,0.810325939,0
153,190,408.69,131180.31,131180.31,100,8308263.279,8308263.279,0.93883375,0
154,563,767.35,462466.35,170872.2,36.94802876,86788866.53,32066775.36,3.623545616,0
155,280,643,324724.18,324724.18,100,30307394.63,30307394.63,3.424735593,0
156,346,646.3,328068.46,328068.46,100,37836681.34,37836681.34,4.275544991,0
157,348,571.11,256173.77,256173.77,100,29715798.17,29715798.17,3.357885193,0
158,419,877.73,605075.17,605075.17,100,84509305.85,84509305.85,9.549551561,0
159,350,645.25,327001.79,327001.79,100,38149837.95,38149837.95,4.310931688,0
160,420,1112.94,972818.74,972818.74,100,136195080.4,136195080.4,15.39004408,0
161,313,858.39,578704.51,578704.51,100,60378492.2,60378492.2,6.822769618,0
162,310,742.09,432516.67,432516.67,100,44693408.73,44693408.73,5.050355186,0
163,228,531.06,221497.66,221497.66,100,16834129.2,16834129.2,1.902256599,0
164,222,548.36,236165.34,104176.09,44.11150679,17476446.69,7709123.971,0.871131009,0
165,353,682.46,365802.7,365802.7,100,43042524.54,43042524.54,4.863805273,0
166,524,950.97,710266.5,710266.5,100,124060505.6,124060505.6,14.01883714,0
167,536,905.25,643610.47,643610.47,100,114992756.2,114992756.2,12.99418145,0
