"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"nonionella sp. b",1,48,206.2,103.1,33393.16,33393.16,100,250454.2852,250454.2852,0.028301334
"nonionella sp. b",2,40,120.18,60.09,11344.55,7522.53,66.30963767,113436.882,75219.58545,0.008499813
"nonionella sp. b",3,42,133.68,66.84,14034.39,14034.39,100,210530.0115,210530.0115,0.023789891
"nonionella sp. b",4,35,90.08,45.04,6373.18,6373.18,100,76476.47861,76476.47861,0.008641842
"nonionella sp. b",5,48,158.49,79.25,19729.37,19729.37,100,236771.6282,236771.6282,0.026755194
"nonionella sp. b",6,39,115.19,139.55,10420.58,10420.58,100,611800.1152,611800.1152,0.069133413
"nonionella sp. b",7,32,101.55,50.78,8099.46,8099.46,100,64807.49766,64807.49766,0.007323247
"nonionella sp. b",8,40,110.46,55.23,9583.05,9583.05,100,95829.66263,95829.66263,0.010828752
"nonionella sp. b",9,32,100.01,50.01,7856.2,7856.2,100,62856.98833,62856.98833,0.00710284
"nonionella sp. b",10,32,109.9,54.95,9485.63,9485.63,100,56916.28124,56916.28124,0.00643154
"nonionella sp. b",11,38,124.04,62.02,12084.87,12084.87,100,181261.1185,181261.1185,0.020482506
"nonionella sp. b",12,20,88.38,44.19,6134.08,6134.08,100,30673.82109,30673.82109,0.003466142
"nonionella sp. b",13,30,94.52,47.26,7016.59,7016.59,100,52625.78302,52625.78302,0.005946713
"nonionella sp. b",14,52,187.62,93.81,27647.19,27647.19,100,400881.622,400881.622,0.045299623
"nonionella sp. b",15,29,116.49,58.24,10657.52,8280.82,77.69931466,69263.74379,53817.45424,0.006081372
"nonionella sp. b",16,44,157.61,78.84,19510.72,19510.72,100,312437.4515,312437.4515,0.035305432
"nonionella sp. b",17,55,164.59,82.3,21276.74,21276.74,100,329823.2307,329823.2307,0.037270025
"nonionella sp. b",18,32,118.42,59.21,11013.12,11013.12,100,88110.96991,88110.96991,0.00995654
"nauricula",1,32,152.22,76.11,18198.58,12467.1,68.50589442,181984.0461,124669.7985,0.014087687
"nauricula",2,26,85.75,42.87,5774.61,5774.61,100,37529.27688,37529.27688,0.004240808
"nauricula",3,36,110.09,55.05,9518.91,9518.91,100,114247.2527,114247.2527,0.01290994
"nauricula",4,32,106.42,53.21,8894.3,3717.84,41.8002541,71158.43329,29744.40593,0.003361118
"nauricula",5,28,94.03,47.02,6944.28,6944.28,100,48619.79936,48619.79936,0.005494037
"nauricula",6,32,109.24,54.62,9372.15,9372.15,100,98410.75494,98410.75494,0.011120415
"nauricula",7,25,116.94,58.47,10739.95,10739.95,100,85922.33038,85922.33038,0.009709223
"nauricula",8,46,145.11,72.55,16537.51,16537.51,100,297644.0542,297644.0542,0.033633778
"nauricula",9,40,150.29,75.15,17740.54,17740.54,100,177422.152,177422.152,0.020048703
"nauricula",10,24,111.05,55.52,9685.42,9685.42,100,58103.19819,58103.19819,0.006565661
"nauricula",11,40,126.12,63.06,12493.49,10086.3,80.73244546,124927.4299,100856.9692,0.011396838
"nauricula",12,30,128.4,64.2,12948.94,12948.94,100,97113.8546,97113.8546,0.010973866
"nauricula",13,22,96.98,48.49,7386.96,7386.96,100,33240.4393,33240.4393,0.00375617
"nauricula",14,30,106.24,53.32,8931.32,8931.32,100,66987.13715,66987.13715,0.007569546
"nauricula",15,24,98.24,49.12,7579.22,7579.22,100,45479.72598,45479.72598,0.005139209
"nauricula",16,40,137.29,68.65,14804.35,14804.35,100,148057.6855,148057.6855,0.016730518
"nauricula",17,40,158.35,79.17,19693,19693,100,196911.5372,196911.5372,0.022251004
"nauris",1,24,96.71,48.36,7345.86,4049.2,55.1222048881955,44083.2604040772,24299.6651213322,0.00274586215871054
"nauris",2,28,107.95,53.98,9153.13,4039.87,44.1364866444593,64078.6971689789,28282.0856179299,0.00319587567482608
"nauris",3,34,112.3,56.15,9905.58,2553.45,25.7778948834899,108953.724059025,28085.9764595831,0.00317371533993289
"nauris",5,32,111.54,55.77,9771.14,4841.94,49.5534809653735,97712.7332642836,48420.060678863,0.00547146685671152
"nauris",6,42,116.8,58.4,10714.91,7131.98,66.56126836343,112503.197541276,74883.5552328882,0.00846184174131637
"nauris",7,28,89.59,44.95,6346.21,6346.21,100,38085.5748683318,38085.5748683318,0.00430366996012149
"nauris",8,32,104.37,52.18,8554.63,8554.63,100,68430.231508007,68430.231508007,0.00773261616040479
"nauris",9,30,91.34,45.67,6552.81,6552.81,100,49144.3006674644,49144.3006674644,0.00555330597542347
"nauris",10,32,121.02,60.51,11502.65,11502.65,100,92022.5292245928,92022.5292245928,0.010398545802379
