"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,210,610.28,305.14,292512.39,292512.39,100,20476050.7158352,20476050.7158352,2.31379373088938
2,182,510.68,255.34,204830.28,88638.03,43.2738899736894,12426182.1114136,5377292.37482342,0.607634038355046
3,132,483.14,241.57,183328.14,15703.67,8.5658808298606,8066563.33147224,690972.202039145,0.0780798588304234
4,145,400.69,200.35,126100.09,28092.91,22.2782632431111,6094718.29392535,1357797.38544674,0.153431104555481
5,155,458.07,229.03,164795.66,47608.34,28.8893166239936,8514595.57060061,2459808.47364335,0.277958357521698
6,180,370.41,185.21,107760.35,107760.35,100,6465565.82468323,6465565.82468323,0.730608938189205
7,147,471.92,235.96,174915.49,116439.48,66.5689928319099,8570826.97450681,5705513.19429484,0.644722990955316
8,228,601.27,300.63,283937.68,138482.96,48.7723080642203,21579557.9846703,10524848.4991804,1.18930788040739
9,264,451.96,225.98,160432.74,39443.07,24.5854243965415,14117979.7136179,3470965.2288106,0.392219070855597
10,143,209.43,104.71,34448.66,12410.48,36.026016686861,1642035.1502732,591559.857241547,0.0668462638682948
11,223,511.8,255.9,205726.63,205726.63,100,15292343.7879809,15292343.7879809,1.72803484804184
12,237,410.34,205.17,132246,50987.97,38.5553967605826,10447314.7956646,4028003.67029552,0.455164414743393
13,107,218.1,109.05,37360.27,9117.58,24.4044810168663,1332489.31612034,325187.10220436,0.0367461425490926
